,First_max,First_min,Second_max,Second_min,First_distance,Second_distance,Third_distance,mean,stdSpe,type
0,10.4214,4.4838,4.8928,-5.0726,-6,-3,-9,6.3477,2.1226,0
1,8.1987,-0.70775,6.4872,5.4904,-8,-6,-14,3.0896,3.1815,0
2,10.8995,6.2219,6.2529,1.4707,-7,-2,-9,7.3129,1.5884,0
3,7.5573,0.87267,5.0989,0.16082,-7,-6,-13,3.2611,2.361,0
4,7.7025,3.0069,2.2362,1.6795,-5,-1,-6,4.5709,1.9677,0
5,11.6162,7.3383,7.7351,8.5196,-5,-2,-7,8.7225,1.6712,0
6,9.6441,4.2717,3.0345,2.5095,-12,-1,-13,6.3154,1.9855,0
7,10.3091,7.4415,6.8054,7.3668,-3,-1,-4,8.0508,1.2907,0
8,9.3376,6.9068,6.4941,7.0017,-4,-1,-5,7.1702,1.146,0
9,10.6986,6.4426,8.3184,-2.2447,-7,-5,-12,7.7716,1.5717,0
10,11.81,11.0221,10.7219,6.6419,-3,-1,-4,11.1205,0.49287,0
11,9.7497,6.0554,5.0408,5.5317,-3,-1,-4,6.5,1.513,0
12,10.727,6.8927,8.1624,5.5177,-5,-4,-9,8.0991,1.2711,0
13,8.068,5.4416,6.7699,6.6959,-4,-4,-8,6.6626,1.0107,0
14,10.4232,3.5361,6.2841,-2.5209,-6,-4,-10,5.8902,1.8925,0
15,6.5365,3.4057,3.4742,1.4584,-5,-2,-7,4.2839,0.91393,0
16,5.7073,3.5569,4.3261,3.8599,-3,-4,-7,4.0988,0.62616,0
17,8.4525,5.4727,5.0283,-1.8856,-3,-3,-6,5.6682,0.55901,0
18,7.685,-0.82477,4.4783,-2.8931,-8,-6,-14,2.3567,2.483,0
19,9.7866,-0.64286,0.80339,-3.0594,-7,-6,-13,2.5678,3.4726,0
20,7.7995,-3.8993,-2.1471,-1.4384,-11,-3,-14,-0.92138,3.9383,0
21,9.7533,8.6201,8.4601,7.8088,-2,-1,-3,8.7549,0.5721,0
22,6.9987,5.5293,5.0074,-1.8481,-4,-1,-5,5.4319,0.55958,0
23,5.4361,4.565,3.7385,-1.6447,-4,-1,-5,4.603,0.52583,0
24,8.7873,2.3508,1.3558,-3.3791,-9,-2,-11,4.4036,2.7032,0
25,5.5586,-0.18715,0.62182,-0.81453,-6,-4,-10,1.241,1.6069,0
26,7.7292,1.0848,0.9763,1.1877,-8,-1,-9,3.3696,2.3678,0
27,14.2481,9.8506,9.6446,7.0175,-6,-1,-7,10.8752,1.1917,0
